GL1,TTG1,TRY,GL3,G3-G1,G3-T1,G3-TRY,G3-G3,G3-G1-T1,G3-T1-TRY,G1-G3-G3,T1-G3-G3,TRY-G3-G3,T1-G1-G3-G3,TRY-T1-G3-G3,G1-G3-G3-T1,G1-G3-G3-TRY,T1-G3-G3-TRY,G1-G3-G3-G1,T1-G3-G3-T1,TRY-G3-G3-TRY,G1-T1-G3-G3-G1,G1-T1-G3-G3-T1,G1-G3-G3-T1-TRY,G1-T1-G3-G3-TRY,T1-TRY-G3-G3-TRY,TRY-T1-G3-G3-T1,G1-T1-G3-G3-T1-G1,T1-TRY-G3-G3-TRY-T1,G1-T1-G3-G3-T1-TRY
0,0,0,1,8.00E-15,4.30E-15,0,100,1.09E-31,0,1.24E-14,6.71E-15,0,1.73E-31,0,4.30E-31,0,0,-1.25E-30,5.56E-32,0,4.78E-47,6.16E-48,0,0,0,0,4.95E-48,0,0
0.25,0,0,1,16.736,7.46E-25,3.59E-26,59.182,5.56E-26,-1.62E-30,22.032,9.82E-25,4.73E-26,7.31E-26,1.24E-32,1.83E-25,8.80E-27,-3.58E-34,2.0506,-1.05E-42,-4.51E-43,1.36E-26,-4.72E-44,-1.99E-32,-2.48E-36,-3.20E-46,-1.14E-45,-2.24E-44,-1.10E-45,1.17E-60
1,0,0,1,39.039,2.10E-23,1.10E-25,15.24,8.42E-24,4.33E-35,30.481,1.64E-23,8.62E-26,6.57E-24,-6.34E-34,1.64E-23,8.62E-26,9.87E-33,15.24,-3.89E-43,-2.64E-43,6.57E-24,-9.74E-44,3.63E-34,1.48E-33,7.87E-48,2.82E-47,-6.82E-44,2.72E-47,-1.25E-56
2,0,0,1,47.948,0,0,4.1035,0,0,21.023,0,0,0,0,0,0,0,26.925,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,51.037,0,0,1.6965,0,0,14.835,0,0,0,0,0,0,0,32.431,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,52.488,0,3.09E-30,0.89774,0,0,11.266,0,6.68E-31,0,0,0,4.26E-30,0,35.348,0,1.21E-44,0,0,0,0,0,0,0,0,0
0,0.25,0,1,5.14E-20,13.053,-8.35E-20,67.758,2.73E-21,-1.11E-20,7.09E-20,17.994,-1.15E-19,3.76E-21,-1.53E-20,9.41E-21,2.64E-33,-1.53E-20,3.82E-42,1.1947,5.82E-41,9.89E-43,5.00E-22,-5.65E-35,-1.76E-34,1.36E-41,-2.03E-21,-1.19E-43,1.83E-42,-4.64E-36
0.25,0.25,0,1,13.959,9.9567,0,41.69,0.77465,0,16.218,11.568,0,0.90002,0,2.25,0,0,1.5772,0.80249,0,0.17506,0.12487,0,0,0,0,0.0048575,0,0
1,0.25,0,1,34.297,5.1218,6.47E-26,11.608,2.1058,9.83E-27,23.862,3.5634,4.47E-26,1.4651,6.82E-27,3.6627,4.58E-26,6.86E-27,12.263,0.27348,8.59E-33,1.5059,0.22488,6.70E-27,2.82E-27,5.32E-32,1.05E-27,0.046229,3.01E-33,4.25E-28
2,0.25,0,1,43.248,2.7459,0,3.3151,2.8479,0,17.192,1.0915,0,1.1321,0,2.8302,0,0,22.289,0.089846,0,2.9354,0.18637,0,0,0,0,0.09665,0,0
